@relation 'final_des3 - Copy-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last_predicted'

@attribute DATE {Weekday,Weekends}
@attribute TIME {Night,Evening,Mid_Night,Early_Morning,Afternoon,Morning,Noon}
@attribute Road_type {Road,highway}
@attribute ENVIRONMENT {'01 - Clear','05 - Drifting Snow','03 - Snow','02 - Rain','04 - Freezing Rain','07 - Fog/mist/smoke/dust','06 - Strong wind','00 - Unknown'}
@attribute LIGHT {'07 - Dark','01 - Daylight','05 - Dusk','03 - Dawn','00 - Unknown'}
@attribute SURFACE_CONDITION {'01 - Dry','06 - Ice','02 - Wet','04 - Slush','03 - Loose snow','05 - Packed snow','00 - Unknown','99 - Other','08 - Loose sand or gravel','07 - Mud','09 - Spilled liquid'}
@attribute TRAFFIC_CONTROL {'10 - No control','02 - Stop sign','01 - Traffic signal','03 - Yield sign','07 - School bus','09 - Traffic controller','11 - Roundabout','08 - Traffic gate',Unknown}
@attribute 'prediction margin' numeric
@attribute 'predicted COLLISION_CLASSIFICATION' {Injury,'P.D. only'}
@attribute COLLISION_CLASSIFICATION {Injury,'P.D. only'}
@attribute IMPACT_TYPE {'02 - Angle','01 - Approaching','06 - SMV unattended vehicle','03 - Rear end','07 - SMV other','04 - Sideswipe','05 - Turning movement','99 - Other'}
@attribute Location {Ottawa_west,Ottawa_south,downtown,Ottawa_east,mid_town}
@attribute NO_OF_PEDESTRIANS {0,1,2,4}

@data
Weekday,Night,Road,'02 - Rain','05 - Dusk','02 - Wet','01 - Traffic signal',0.454544,'P.D. only','P.D. only','05 - Turning movement',Ottawa_south,0
Weekday,Evening,Road,'02 - Rain','01 - Daylight','02 - Wet','01 - Traffic signal',0.499996,'P.D. only','P.D. only','03 - Rear end',downtown,0
Weekday,Evening,highway,'01 - Clear','01 - Daylight','01 - Dry','03 - Yield sign',0.799994,'P.D. only','P.D. only','03 - Rear end',mid_town,0
Weekday,Night,highway,'01 - Clear','01 - Daylight','01 - Dry','10 - No control',0.461537,'P.D. only','P.D. only','07 - SMV other',Ottawa_south,0
Weekday,Night,Road,'01 - Clear','01 - Daylight','01 - Dry','10 - No control',0.935479,'P.D. only','P.D. only','06 - SMV unattended vehicle',downtown,0
Weekday,Noon,Road,'01 - Clear','01 - Daylight','01 - Dry','01 - Traffic signal',0.857134,'P.D. only','P.D. only','03 - Rear end',Ottawa_east,0
Weekday,Mid_Night,Road,'03 - Snow','07 - Dark','04 - Slush','02 - Stop sign',0.641023,'P.D. only','P.D. only','03 - Rear end',downtown,0
Weekday,Early_Morning,Road,'01 - Clear','07 - Dark','01 - Dry','10 - No control',0.584414,'P.D. only','P.D. only','07 - SMV other',Ottawa_south,0
Weekday,Afternoon,Road,'01 - Clear','01 - Daylight','01 - Dry','02 - Stop sign',0.214285,'P.D. only','P.D. only','07 - SMV other',mid_town,0
Weekday,Night,Road,'01 - Clear','05 - Dusk','01 - Dry','01 - Traffic signal',0.542168,'P.D. only','P.D. only','03 - Rear end',Ottawa_west,0
Weekends,Afternoon,Road,'01 - Clear','01 - Daylight','02 - Wet','02 - Stop sign',0.83333,'P.D. only','P.D. only','06 - SMV unattended vehicle',mid_town,0
Weekends,Evening,Road,'01 - Clear','01 - Daylight','01 - Dry','02 - Stop sign',0.504761,'P.D. only','P.D. only','02 - Angle',downtown,0
Weekday,Noon,highway,'01 - Clear','01 - Daylight','01 - Dry','10 - No control',0.828568,'P.D. only','P.D. only','03 - Rear end',downtown,0
Weekday,Night,Road,'01 - Clear','01 - Daylight','01 - Dry','10 - No control',0.599999,'P.D. only','P.D. only','03 - Rear end',mid_town,0
Weekday,Evening,highway,'01 - Clear','01 - Daylight','01 - Dry','10 - No control',0.777765,'P.D. only','P.D. only','04 - Sideswipe',mid_town,0
