Instance_number,COLLISION_CLASSIFICATION,X,Y,Cluster
174,'P.D. only',361622.7813,5026560,cluster3
175,'P.D. only',348750.0938,5024625.5,cluster2
176,'P.D. only',374148.625,5030669,cluster1
177,'P.D. only',372903.7188,5027464,cluster1
178,'P.D. only',383186.8438,5037978.5,cluster4
179,'P.D. only',363156.9063,5028959,cluster3
180,'P.D. only',356695.1875,5020227.5,cluster2
181,'P.D. only',370336.0625,5025949,cluster3
182,'P.D. only',368425.9063,5024863,cluster3
183,'P.D. only',365841.4063,5029311,cluster1
184,'P.D. only',367582.5938,5033317,cluster1
185,'P.D. only',367401.5,5019168.5,cluster3
186,'P.D. only',375361.0313,5031314,cluster1
187,'P.D. only',367718.2813,5031323,cluster1
188,Injury,365105.3125,5024009,cluster3
189,Injury,384181,5039882,cluster4
190,'P.D. only',362411.9688,5014449.5,cluster0
191,'P.D. only',349953.7188,5021079.5,cluster2
192,'P.D. only',363178.875,5026639,cluster3
193,Injury,374505.0313,5033198,cluster1
194,'P.D. only',367736.9063,5033005.5,cluster1
195,'P.D. only',352838.9375,5020479,cluster2
196,'P.D. only',368415.8125,5032255.5,cluster1
197,'P.D. only',362396.8125,5023675.5,cluster3
198,'P.D. only',373085.5625,5028064,cluster1
199,'P.D. only',365008.2813,5029199,cluster1
200,'P.D. only',343639.2813,5023085,cluster2
201,'P.D. only',352840.7188,5020480.5,cluster2
202,'P.D. only',367009.5313,5030980,cluster1
203,'P.D. only',366805.3438,5028985.5,cluster1
204,'P.D. only',368064.375,5026623,cluster3
205,'P.D. only',375587.0938,5033426,cluster1
206,'P.D. only',361129.5,5025745,cluster3
207,'P.D. only',383031.5625,5037561,cluster4
208,'P.D. only',364857.4063,5027105,cluster3
209,'P.D. only',370909.9375,5026954,cluster1
210,'P.D. only',366367.5,5029886.5,cluster1
211,'P.D. only',369475.375,5032976,cluster1
212,'P.D. only',379005.7188,5036771.5,cluster4
213,'P.D. only',365577.375,5016706,cluster0
214,'P.D. only',365028.0938,5028919,cluster1
215,Injury,348397.4688,5014744,cluster2
216,'P.D. only',367297.25,5031272,cluster1
217,Injury,368673.7188,5028730,cluster1
218,'P.D. only',370702.1563,5032742,cluster1
219,'P.D. only',351806.8125,5019070,cluster2
220,'P.D. only',371911.8125,5033995,cluster1
221,'P.D. only',360844.5625,5023826.5,cluster3
222,'P.D. only',367435.7188,5020650,cluster3
223,'P.D. only',374299.7188,5030757.5,cluster1
224,'P.D. only',368444.5938,5032216.5,cluster1
225,'P.D. only',377127.8438,5035244,cluster4
226,'P.D. only',385198.8125,5038311.5,cluster4
227,'P.D. only',373233.125,5029696.5,cluster1
228,'P.D. only',382889.9063,5038666,cluster4
229,'P.D. only',372587.7188,5031263,cluster1
230,Injury,364351.6875,5027336.5,cluster3
231,Injury,367250.9063,5029798,cluster1
232,Injury,364439.5938,5027137,cluster3
233,'P.D. only',375693.9063,5025953,cluster1
234,'P.D. only',367358.9063,5021903,cluster3
235,'P.D. only',375108.875,5027391.5,cluster1
236,'P.D. only',379453.875,5036919.5,cluster4
237,'P.D. only',368876.6563,5032265.5,cluster1
238,'P.D. only',363143.25,5023998.5,cluster3
239,'P.D. only',370251.6563,5026205,cluster1
240,'P.D. only',350727.125,5016318,cluster2
241,'P.D. only',371451.0313,5027364,cluster1
242,Injury,368341.2188,5029555,cluster1
243,'P.D. only',369652.9375,5028555,cluster1
244,'P.D. only',372207.1875,5032486.5,cluster1
245,'P.D. only',376245.5,5034538,cluster4
246,Injury,367882.5313,5030542,cluster1
247,'P.D. only',370855.7813,5030827,cluster1
248,'P.D. only',351240.125,5012233,cluster2
249,'P.D. only',368039.9063,5032800,cluster1
250,'P.D. only',342396.1875,5029084,cluster2
251,'P.D. only',374635.3438,5032993.5,cluster1
252,'P.D. only',367492.5313,5030693,cluster1
253,'P.D. only',354335.875,5016731,cluster2
254,'P.D. only',370438.125,5029082,cluster1
255,'P.D. only',371009.8125,5030340,cluster1
256,'P.D. only',368259.0938,5032529.5,cluster1
257,'P.D. only',382060.6563,5038532.5,cluster4
258,'P.D. only',383949.0625,5036164,cluster4
259,'P.D. only',370330.8438,5025982.5,cluster3
260,'P.D. only',350488.1563,5015151,cluster2
261,'P.D. only',372820.25,5030686.5,cluster1
262,'P.D. only',371874.9375,5024326,cluster3
263,'P.D. only',384687.25,5039291,cluster4
264,'P.D. only',371199.8438,5024144,cluster3
265,'P.D. only',368337.5313,5031858,cluster1
266,'P.D. only',363347.1875,5025563.5,cluster3
267,'P.D. only',373546.375,5033608,cluster1
268,'P.D. only',376919.3438,5012727.5,cluster0
269,'P.D. only',368193.8125,5022800.5,cluster3
270,Injury,381580.8438,5032591.5,cluster4
271,'P.D. only',382363.6875,5018785.5,cluster0
272,Injury,381580.8438,5032591.5,cluster4
273,'P.D. only',351779.4063,5017610.5,cluster2
274,'P.D. only',363341.7813,5025567,cluster3
275,'P.D. only',364439.5938,5027142.5,cluster3
276,Injury,375191.5938,5027186,cluster1
277,'P.D. only',368900.5625,5030600.5,cluster1
278,'P.D. only',369820.875,5022839,cluster3
279,'P.D. only',367326.2188,5029646,cluster1
280,'P.D. only',370733.9063,5025078,cluster3
281,'P.D. only',362907.0938,5028073,cluster3
282,'P.D. only',349974.3438,5019026,cluster2
283,'P.D. only',367456.7188,5032952.5,cluster1
