@relation 'final_des3 - Copy-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last_clustered'

@attribute Instance_number numeric
@attribute DATE {Weekday,Weekends}
@attribute TIME {Night,Evening,Mid_Night,Early_Morning,Afternoon,Morning,Noon}
@attribute Road_type {Road,highway}
@attribute ENVIRONMENT {'01 - Clear','05 - Drifting Snow','03 - Snow','02 - Rain','04 - Freezing Rain','07 - Fog/mist/smoke/dust','06 - Strong wind','00 - Unknown'}
@attribute LIGHT {'07 - Dark','01 - Daylight','05 - Dusk','03 - Dawn','00 - Unknown'}
@attribute SURFACE_CONDITION {'01 - Dry','06 - Ice','02 - Wet','04 - Slush','03 - Loose snow','05 - Packed snow','00 - Unknown','99 - Other','08 - Loose sand or gravel','07 - Mud','09 - Spilled liquid'}
@attribute TRAFFIC_CONTROL {'10 - No control','02 - Stop sign','01 - Traffic signal','03 - Yield sign','07 - School bus','09 - Traffic controller','11 - Roundabout','08 - Traffic gate',Unknown}
@attribute COLLISION_CLASSIFICATION {Injury,'P.D. only'}
@attribute IMPACT_TYPE {'02 - Angle','01 - Approaching','06 - SMV unattended vehicle','03 - Rear end','07 - SMV other','04 - Sideswipe','05 - Turning movement','99 - Other'}
@attribute Location {Ottawa_west,Ottawa_south,downtown,Ottawa_east,mid_town}
@attribute NO_OF_PEDESTRIANS {0,1,2,4}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
88,Weekday,Evening,Road,'01 - Clear','01 - Daylight','02 - Wet','01 - Traffic signal','P.D. only','03 - Rear end',mid_town,0,cluster2
89,Weekday,Evening,Road,'01 - Clear','01 - Daylight','04 - Slush','01 - Traffic signal','P.D. only','03 - Rear end',mid_town,0,cluster2
90,Weekday,Evening,Road,'01 - Clear','01 - Daylight','01 - Dry','01 - Traffic signal',Injury,'02 - Angle',downtown,0,cluster1
91,Weekday,Evening,Road,'01 - Clear','01 - Daylight','02 - Wet','01 - Traffic signal','P.D. only','03 - Rear end',Ottawa_south,0,cluster2
92,Weekday,Evening,Road,'01 - Clear','01 - Daylight','02 - Wet','01 - Traffic signal','P.D. only','03 - Rear end',downtown,0,cluster3
93,Weekday,Evening,Road,'01 - Clear','01 - Daylight','04 - Slush','01 - Traffic signal',Injury,'03 - Rear end',downtown,0,cluster1
94,Weekday,Noon,Road,'01 - Clear','03 - Dawn','04 - Slush','01 - Traffic signal','P.D. only','05 - Turning movement',mid_town,0,cluster4
95,Weekday,Evening,Road,'01 - Clear','01 - Daylight','06 - Ice','10 - No control','P.D. only','01 - Approaching',downtown,0,cluster0
96,Weekday,Evening,Road,'01 - Clear','01 - Daylight','02 - Wet','10 - No control','P.D. only','04 - Sideswipe',downtown,0,cluster0
97,Weekday,Evening,Road,'01 - Clear','01 - Daylight','01 - Dry','01 - Traffic signal','P.D. only','03 - Rear end',mid_town,0,cluster2
98,Weekday,Evening,Road,'01 - Clear','01 - Daylight','02 - Wet','02 - Stop sign',Injury,'02 - Angle',mid_town,0,cluster2
99,Weekday,Night,Road,'01 - Clear','01 - Daylight','04 - Slush','10 - No control','P.D. only','03 - Rear end',mid_town,0,cluster1
100,Weekday,Night,Road,'01 - Clear','01 - Daylight','06 - Ice','02 - Stop sign','P.D. only','02 - Angle',downtown,0,cluster1
101,Weekday,Night,Road,'01 - Clear','01 - Daylight','04 - Slush','10 - No control',Injury,'07 - SMV other',mid_town,1,cluster1
102,Weekday,Night,Road,'01 - Clear','01 - Daylight','02 - Wet','10 - No control',Injury,'03 - Rear end',mid_town,0,cluster1
103,Weekday,Night,Road,'01 - Clear','05 - Dusk','03 - Loose snow','01 - Traffic signal','P.D. only','04 - Sideswipe',downtown,0,cluster1
104,Weekday,Night,Road,'01 - Clear','05 - Dusk','01 - Dry','01 - Traffic signal',Injury,'03 - Rear end',mid_town,0,cluster1
105,Weekday,Night,Road,'01 - Clear','05 - Dusk','02 - Wet','01 - Traffic signal','P.D. only','02 - Angle',Ottawa_east,0,cluster1
106,Weekday,Night,Road,'01 - Clear','05 - Dusk','02 - Wet','10 - No control',Injury,'03 - Rear end',mid_town,0,cluster1
107,Weekday,Night,Road,'01 - Clear','05 - Dusk','04 - Slush','02 - Stop sign','P.D. only','04 - Sideswipe',downtown,0,cluster1
108,Weekends,Mid_Night,Road,'03 - Snow','07 - Dark','03 - Loose snow','10 - No control','P.D. only','04 - Sideswipe',downtown,0,cluster0
109,Weekday,Night,Road,'01 - Clear','05 - Dusk','02 - Wet','10 - No control','P.D. only','02 - Angle',mid_town,0,cluster1
110,Weekday,Night,Road,'01 - Clear','05 - Dusk','04 - Slush','01 - Traffic signal','P.D. only','04 - Sideswipe',downtown,0,cluster1
111,Weekday,Night,Road,'01 - Clear','05 - Dusk','01 - Dry','10 - No control','P.D. only','02 - Angle',downtown,0,cluster1
112,Weekday,Night,Road,'03 - Snow','07 - Dark','03 - Loose snow','10 - No control','P.D. only','07 - SMV other',mid_town,0,cluster0
113,Weekday,Night,Road,'01 - Clear','07 - Dark','05 - Packed snow','10 - No control','P.D. only','07 - SMV other',mid_town,1,cluster1
114,Weekday,Night,Road,'01 - Clear','07 - Dark','01 - Dry','10 - No control','P.D. only','03 - Rear end',Ottawa_east,0,cluster1
115,Weekends,Mid_Night,Road,'01 - Clear','07 - Dark','05 - Packed snow','10 - No control','P.D. only','03 - Rear end',Ottawa_east,0,cluster3
116,Weekday,Night,Road,'01 - Clear','05 - Dusk','01 - Dry','01 - Traffic signal','P.D. only','05 - Turning movement',Ottawa_south,0,cluster4
117,Weekday,Evening,Road,'01 - Clear','01 - Daylight','01 - Dry','10 - No control','P.D. only','06 - SMV unattended vehicle',mid_town,0,cluster2
118,Weekends,Mid_Night,Road,'03 - Snow','07 - Dark','05 - Packed snow','10 - No control','P.D. only','06 - SMV unattended vehicle',Ottawa_east,0,cluster0
119,Weekday,Mid_Night,Road,'01 - Clear','07 - Dark','06 - Ice','01 - Traffic signal',Injury,'03 - Rear end',Ottawa_east,0,cluster4
120,Weekday,Mid_Night,Road,'05 - Drifting Snow','07 - Dark','03 - Loose snow','10 - No control','P.D. only','02 - Angle',Ottawa_east,0,cluster4
121,Weekday,Mid_Night,Road,'01 - Clear','07 - Dark','06 - Ice','10 - No control',Injury,'99 - Other',mid_town,1,cluster2
122,Weekends,Mid_Night,Road,'03 - Snow','07 - Dark','05 - Packed snow','01 - Traffic signal','P.D. only','04 - Sideswipe',Ottawa_east,0,cluster4
123,Weekday,Mid_Night,Road,'01 - Clear','07 - Dark','02 - Wet','01 - Traffic signal','P.D. only','07 - SMV other',downtown,0,cluster4
124,Weekday,Mid_Night,Road,'01 - Clear','07 - Dark','02 - Wet','01 - Traffic signal','P.D. only','02 - Angle',Ottawa_south,0,cluster4
125,Weekday,Night,Road,'01 - Clear','01 - Daylight','05 - Packed snow','10 - No control','P.D. only','06 - SMV unattended vehicle',downtown,0,cluster1
126,Weekday,Noon,Road,'01 - Clear','03 - Dawn','02 - Wet','01 - Traffic signal','P.D. only','05 - Turning movement',downtown,0,cluster4
127,Weekday,Noon,Road,'01 - Clear','01 - Daylight','03 - Loose snow','10 - No control','P.D. only','02 - Angle',downtown,0,cluster1
128,Weekday,Afternoon,Road,'01 - Clear','01 - Daylight','02 - Wet','10 - No control','P.D. only','04 - Sideswipe',downtown,0,cluster0
129,Weekday,Evening,highway,'01 - Clear','01 - Daylight','02 - Wet','10 - No control','P.D. only','99 - Other',Ottawa_west,0,cluster0
130,Weekday,Mid_Night,Road,'01 - Clear','07 - Dark','01 - Dry','01 - Traffic signal','P.D. only','05 - Turning movement',downtown,0,cluster4
131,Weekday,Evening,Road,'05 - Drifting Snow','01 - Daylight','03 - Loose snow','10 - No control','P.D. only','06 - SMV unattended vehicle',downtown,0,cluster0
132,Weekday,Evening,highway,'01 - Clear','01 - Daylight','02 - Wet','03 - Yield sign',Injury,'03 - Rear end',mid_town,0,cluster2
133,Weekends,Night,Road,'05 - Drifting Snow','01 - Daylight','06 - Ice','01 - Traffic signal','P.D. only','03 - Rear end',Ottawa_south,0,cluster1
134,Weekday,Early_Morning,Road,'01 - Clear','07 - Dark','05 - Packed snow','10 - No control','P.D. only','02 - Angle',downtown,0,cluster1
135,Weekends,Mid_Night,Road,'01 - Clear','07 - Dark','02 - Wet','01 - Traffic signal','P.D. only','05 - Turning movement',Ottawa_east,0,cluster4
136,Weekday,Night,Road,'03 - Snow','05 - Dusk','04 - Slush','10 - No control','P.D. only','07 - SMV other',mid_town,0,cluster0
137,Weekday,Evening,Road,'01 - Clear','01 - Daylight','02 - Wet','10 - No control','P.D. only','03 - Rear end',mid_town,0,cluster2
